UF,cod_mun,Município,Cluster
AC,1200013.0,Acrelândia,1.0
AC,1200054.0,Assis Brasil,1.0
AC,1200104.0,Brasiléia,1.0
AC,1200138.0,Bujari,1.0
AC,1200179.0,Capixaba,1.0
AC,1200203.0,Cruzeiro do Sul,1.0
AC,1200252.0,Epitaciolândia,1.0
AC,1200302.0,Feijó,1.0
AC,1200328.0,Jordão,1.0
AC,1200336.0,Mâncio Lima,1.0
AC,1200344.0,Manoel Urbano,1.0
AC,1200351.0,Marechal Thaumaturgo,1.0
AC,1200385.0,Plácido de Castro,1.0
AC,1200393.0,Porto Walter,1.0
AC,1200401.0,Rio Branco,1.0
AC,1200427.0,Rodrigues Alves,1.0
AC,1200435.0,Santa Rosa do Purus,1.0
AC,1200450.0,Senador Guiomard,1.0
AC,1200500.0,Sena Madureira,1.0
AC,1200609.0,Tarauacá,1.0
AC,1200708.0,Xapuri,1.0
AC,1200807.0,Porto Acre,1.0
AL,2706208.0,Palestina,1.0
AL,2706307.0,Palmeira dos Índios,1.0
AL,2706406.0,Pão de Açúcar,1.0
AL,2706422.0,Pariconha,1.0
AL,2706448.0,Paripueira,1.0
AL,2706505.0,Passo de Camaragibe,1.0
AL,2706604.0,Paulo Jacinto,1.0
AL,2706703.0,Penedo,1.0
AL,2706802.0,Piaçabuçu,1.0
AL,2706901.0,Pilar,1.0
AL,2707008.0,Pindoba,1.0
AL,2707107.0,Piranhas,1.0
AL,2707206.0,Poço das Trincheiras,1.0
AL,2707305.0,Porto Calvo,1.0
AL,2707404.0,Porto de Pedras,1.0
AL,2707503.0,Porto Real do Colégio,1.0
AL,2707602.0,Quebrangulo,1.0
AL,2707701.0,Rio Largo,1.0
AL,2707800.0,Roteiro,1.0
AL,2707909.0,Santa Luzia do Norte,1.0
AL,2708006.0,Santana do Ipanema,1.0
AL,2708105.0,Santana do Mundaú,1.0
AL,2708204.0,São Brás,1.0
AL,2708303.0,São José da Laje,1.0
AL,2708402.0,São José da Tapera,1.0
AL,2708501.0,São Luís do Quitunde,1.0
AL,2708600.0,São Miguel dos Campos,1.0
AL,2708709.0,São Miguel dos Milagres,1.0
AL,2708808.0,São Sebastião,1.0
AL,2708907.0,Satuba,1.0
AL,2708956.0,Senador Rui Palmeira,1.0
AL,2709004.0,Tanque d'Arca,1.0
AL,2709103.0,Taquarana,1.0
AL,2709152.0,Teotônio Vilela,1.0
AL,2709202.0,Traipu,1.0
AL,2709301.0,União dos Palmares,1.0
AL,2709400.0,Viçosa,1.0
AL,2703403.0,Jacaré dos Homens,1.0
AL,2703502.0,Jacuípe,1.0
AL,2703601.0,Japaratinga,1.0
AL,2703700.0,Jaramataia,1.0
AL,2703759.0,Jequiá da Praia,1.0
AL,2703809.0,Joaquim Gomes,1.0
AL,2703908.0,Jundiá,1.0
AL,2704005.0,Junqueiro,1.0
AL,2704104.0,Lagoa da Canoa,1.0
AL,2704203.0,Limoeiro de Anadia,1.0
AL,2704302.0,Maceió,1.0
AL,2704401.0,Major Isidoro,1.0
AL,2704500.0,Maragogi,1.0
AL,2704609.0,Maravilha,1.0
AL,2704708.0,Marechal Deodoro,1.0
AL,2704807.0,Maribondo,1.0
AL,2704906.0,Mar Vermelho,1.0
AL,2705002.0,Mata Grande,1.0
AL,2705101.0,Matriz de Camaragibe,1.0
AL,2705200.0,Messias,1.0
AL,2705309.0,Minador do Negrão,1.0
AL,2705408.0,Monteirópolis,1.0
AL,2705507.0,Murici,1.0
AL,2705606.0,Novo Lino,1.0
AL,2705705.0,Olho d'Água das Flores,1.0
AL,2705804.0,Olho d'Água do Casado,1.0
AL,2705903.0,Olho d'Água Grande,1.0
AL,2706000.0,Olivença,1.0
AL,2706109.0,Ouro Branco,1.0
AL,2700102.0,Água Branca,1.0
AL,2700201.0,Anadia,1.0
AL,2700300.0,Arapiraca,1.0
AL,2700409.0,Atalaia,1.0
AL,2700508.0,Barra de Santo Antônio,1.0
AL,2700607.0,Barra de São Miguel,1.0
AL,2700706.0,Batalha,1.0
AL,2700805.0,Belém,1.0
AL,2700904.0,Belo Monte,1.0
AL,2701001.0,Boca da Mata,1.0
AL,2701100.0,Branquinha,1.0
AL,2701209.0,Cacimbinhas,1.0
AL,2701308.0,Cajueiro,1.0
AL,2701357.0,Campestre,1.0
AL,2701407.0,Campo Alegre,1.0
AL,2701506.0,Campo Grande,1.0
AL,2701605.0,Canapi,1.0
AL,2701704.0,Capela,1.0
AL,2701803.0,Carneiros,1.0
AL,2701902.0,Chã Preta,1.0
AL,2702009.0,Coité do Nóia,1.0
AL,2702108.0,Colônia Leopoldina,1.0
AL,2702207.0,Coqueiro Seco,1.0
AL,2702306.0,Coruripe,1.0
AL,2702355.0,Craíbas,1.0
AL,2702405.0,Delmiro Gouveia,1.0
AL,2702504.0,Dois Riachos,1.0
AL,2702553.0,Estrela de Alagoas,1.0
AL,2702603.0,Feira Grande,1.0
AL,2702702.0,Feliz Deserto,1.0
AL,2702801.0,Flexeiras,1.0
AL,2702900.0,Girau do Ponciano,1.0
AL,2703007.0,Ibateguara,1.0
AL,2703106.0,Igaci,1.0
AL,2703205.0,Igreja Nova,1.0
AL,2703304.0,Inhapi,1.0
AM,1300029.0,Alvarães,3.0
AM,1300060.0,Amaturá,1.0
AM,1300086.0,Anamã,1.0
AM,1300102.0,Anori,3.0
AM,1300144.0,Apuí,3.0
AM,1300201.0,Atalaia do Norte,1.0
AM,1302603.0,Manaus,1.0
AM,1300300.0,Autazes,3.0
AM,1300409.0,Barcelos,1.0
AM,1300508.0,Barreirinha,1.0
AM,1300607.0,Benjamin Constant,1.0
AM,1300631.0,Beruri,1.0
AM,1300680.0,Boa Vista do Ramos,4.0
AM,1300706.0,Boca do Acre,1.0
AM,1300805.0,Borba,1.0
AM,1300839.0,Caapiranga,1.0
AM,1300904.0,Canutama,1.0
AM,1301001.0,Carauari,4.0
AM,1301100.0,Careiro,1.0
AM,1301159.0,Careiro da Várzea,1.0
AM,1301209.0,Coari,1.0
AM,1301308.0,Codajás,3.0
AM,1301407.0,Eirunepé,1.0
AM,1301506.0,Envira,1.0
AM,1301605.0,Fonte Boa,1.0
AM,1301654.0,Guajará,1.0
AM,1301704.0,Humaitá,1.0
AM,1301803.0,Ipixuna,1.0
AM,1301852.0,Iranduba,1.0
AM,1301902.0,Itacoatiara,1.0
AM,1302702.0,Manicoré,1.0
AM,1301951.0,Itamarati,3.0
AM,1302801.0,Maraã,3.0
AM,1302009.0,Itapiranga,1.0
AM,1302108.0,Japurá,1.0
AM,1302207.0,Juruá,1.0
AM,1302900.0,Maués,3.0
AM,1302306.0,Jutaí,1.0
AM,1302405.0,Lábrea,1.0
AM,1303007.0,Nhamundá,1.0
AM,1303106.0,Nova Olinda do Norte,1.0
AM,1302504.0,Manacapuru,1.0
AM,1303205.0,Novo Airão,1.0
AM,1303304.0,Novo Aripuanã,3.0
AM,1303403.0,Parintins,3.0
AM,1302553.0,Manaquiri,1.0
AM,1303502.0,Pauini,1.0
AM,1303536.0,Presidente Figueiredo,3.0
AM,1303569.0,Rio Preto da Eva,3.0
AM,1303601.0,Santa Isabel do Rio Negro,3.0
AM,1303700.0,Santo Antônio do Içá,1.0
AM,1303809.0,São Gabriel da Cachoeira,1.0
AM,1303908.0,São Paulo de Olivença,1.0
AM,1303957.0,São Sebastião do Uatumã,3.0
AM,1304005.0,Silves,1.0
AM,1304062.0,Tabatinga,1.0
AM,1304104.0,Tapauá,3.0
AM,1304203.0,Tefé,3.0
AM,1304237.0,Tonantins,3.0
AM,1304260.0,Uarini,1.0
AM,1304302.0,Urucará,1.0
AM,1304401.0,Urucurituba,3.0
AP,1600055.0,Serra do Navio,1.0
AP,1600105.0,Amapá,1.0
AP,1600154.0,Pedra Branca do Amapari,1.0
AP,1600204.0,Calçoene,4.0
AP,1600212.0,Cutias,1.0
AP,1600238.0,Ferreira Gomes,1.0
AP,1600253.0,Itaubal,1.0
AP,1600279.0,Laranjal do Jari,1.0
AP,1600303.0,Macapá,1.0
AP,1600402.0,Mazagão,1.0
AP,1600501.0,Oiapoque,1.0
AP,1600535.0,Porto Grande,1.0
AP,1600550.0,Pracuúba,1.0
AP,1600600.0,Santana,1.0
AP,1600709.0,Tartarugalzinho,1.0
AP,1600808.0,Vitória do Jari,3.0
BA,2928604.0,Santo Amaro,1.0
BA,2928703.0,Santo Antônio de Jesus,3.0
BA,2918407.0,Juazeiro,1.0
BA,2928802.0,Santo Estêvão,1.0
BA,2928901.0,São Desidério,3.0
BA,2928950.0,São Domingos,1.0
BA,2929008.0,São Félix,1.0
BA,2918456.0,Jucuruçu,3.0
BA,2918506.0,Jussara,3.0
BA,2929057.0,São Félix do Coribe,3.0
BA,2918555.0,Jussari,3.0
BA,2929107.0,São Felipe,3.0
BA,2929206.0,São Francisco do Conde,3.0
BA,2918605.0,Jussiape,3.0
BA,2918704.0,Lafaiete Coutinho,4.0
BA,2918753.0,Lagoa Real,3.0
BA,2929255.0,São Gabriel,1.0
BA,2918803.0,Laje,3.0
BA,2929305.0,São Gonçalo dos Campos,1.0
BA,2929354.0,São José da Vitória,3.0
BA,2929370.0,São José do Jacuípe,1.0
BA,2918902.0,Lajedão,3.0
BA,2919009.0,Lajedinho,3.0
BA,2919058.0,Lajedo do Tabocal,3.0
BA,2929404.0,São Miguel das Matas,3.0
BA,2919108.0,Lamarão,1.0
BA,2919157.0,Lapão,1.0
BA,2929503.0,São Sebastião do Passé,1.0
BA,2919207.0,Lauro de Freitas,1.0
BA,2929602.0,Sapeaçu,3.0
BA,2929701.0,Sátiro Dias,3.0
BA,2929750.0,Saubara,1.0
BA,2929800.0,Saúde,3.0
BA,2929909.0,Seabra,3.0
BA,2930006.0,Sebastião Laranjeiras,3.0
BA,2919306.0,Lençóis,3.0
BA,2919405.0,Licínio de Almeida,3.0
BA,2930105.0,Senhor do Bonfim,1.0
BA,2919504.0,Livramento de Nossa Senhora,3.0
BA,2919553.0,Luís Eduardo Magalhães,1.0
BA,2930154.0,Serra do Ramalho,3.0
BA,2930204.0,Sento Sé,1.0
BA,2919603.0,Macajuba,1.0
BA,2930303.0,Serra Dourada,3.0
BA,2930402.0,Serra Preta,1.0
BA,2930501.0,Serrinha,1.0
BA,2919702.0,Macarani,1.0
BA,2919801.0,Macaúbas,3.0
BA,2919900.0,Macururé,1.0
BA,2919926.0,Madre de Deus,3.0
BA,2919959.0,Maetinga,3.0
BA,2930600.0,Serrolândia,3.0
BA,2930709.0,Simões Filho,3.0
BA,2920007.0,Maiquinique,3.0
BA,2920106.0,Mairi,4.0
BA,2920205.0,Malhada,3.0
BA,2920304.0,Malhada de Pedras,3.0
BA,2913606.0,Ilhéus,1.0
BA,2920403.0,Manoel Vitorino,3.0
BA,2920452.0,Mansidão,1.0
BA,2920502.0,Maracás,1.0
BA,2920601.0,Maragogipe,1.0
BA,2913705.0,Inhambupe,1.0
BA,2920700.0,Maraú,1.0
BA,2913804.0,Ipecaetá,1.0
BA,2913903.0,Ipiaú,3.0
BA,2933257.0,Vereda,3.0
BA,2933307.0,Vitória da Conquista,1.0
BA,2914000.0,Ipirá,1.0
BA,2914109.0,Ipupiara,3.0
BA,2914208.0,Irajuba,3.0
BA,2914307.0,Iramaia,3.0
BA,2914406.0,Iraquara,3.0
BA,2914505.0,Irará,1.0
BA,2914604.0,Irecê,3.0
BA,2914653.0,Itabela,3.0
BA,2933406.0,Wagner,3.0
BA,2933455.0,Wanderley,3.0
BA,2914703.0,Itaberaba,1.0
BA,2933505.0,Wenceslau Guimarães,1.0
BA,2933604.0,Xique-Xique,1.0
BA,2914802.0,Itabuna,3.0
BA,2905701.0,Camaçari,1.0
BA,2905800.0,Camamu,1.0
BA,2905909.0,Campo Alegre de Lourdes,1.0
BA,2914901.0,Itacaré,1.0
BA,2906006.0,Campo Formoso,1.0
BA,2915007.0,Itaeté,1.0
BA,2915106.0,Itagi,1.0
BA,2915205.0,Itagibá,3.0
BA,2900108.0,Abaíra,3.0
BA,2900207.0,Abaré,1.0
BA,2930758.0,Sítio do Mato,3.0
BA,2930766.0,Sítio do Quinto,3.0
BA,2906105.0,Canápolis,3.0
BA,2906204.0,Canarana,3.0
BA,2900306.0,Acajutiba,3.0
BA,2930774.0,Sobradinho,1.0
BA,2930808.0,Souto Soares,3.0
BA,2915304.0,Itagimirim,3.0
BA,2900355.0,Adustina,3.0
BA,2930907.0,Tabocas do Brejo Velho,3.0
BA,2906303.0,Canavieiras,3.0
BA,2900405.0,Água Fria,1.0
BA,2900504.0,Érico Cardoso,3.0
BA,2931004.0,Tanhaçu,3.0
BA,2931053.0,Tanque Novo,3.0
BA,2915353.0,Itaguaçu da Bahia,1.0
BA,2915403.0,Itaju do Colônia,3.0
BA,2900603.0,Aiquara,3.0
BA,2900702.0,Alagoinhas,1.0
BA,2931103.0,Tanquinho,1.0
BA,2906402.0,Candeal,1.0
BA,2906501.0,Candeias,3.0
BA,2931202.0,Taperoá,3.0
BA,2915502.0,Itajuípe,3.0
BA,2931301.0,Tapiramutá,1.0
BA,2931350.0,Teixeira de Freitas,3.0
BA,2915601.0,Itamaraju,1.0
BA,2915908.0,Itanagra,3.0
BA,2916005.0,Itanhém,3.0
BA,2916104.0,Itaparica,3.0
BA,2900801.0,Alcobaça,3.0
BA,2915700.0,Itamari,3.0
BA,2916203.0,Itapé,3.0
BA,2906600.0,Candiba,3.0
BA,2900900.0,Almadina,3.0
BA,2931400.0,Teodoro Sampaio,1.0
BA,2931509.0,Teofilândia,1.0
BA,2915809.0,Itambé,3.0
BA,2916302.0,Itapebi,3.0
BA,2916401.0,Itapetinga,3.0
BA,2931608.0,Teolândia,3.0
BA,2931707.0,Terra Nova,1.0
BA,2906709.0,Cândido Sales,3.0
BA,2906808.0,Cansanção,1.0
BA,2901007.0,Amargosa,1.0
BA,2931806.0,Tremedal,1.0
BA,2903102.0,Barra do Rocha,3.0
BA,2903201.0,Barreiras,1.0
BA,2931905.0,Tucano,1.0
BA,2906824.0,Canudos,1.0
BA,2901106.0,Amélia Rodrigues,1.0
BA,2901155.0,América Dourada,3.0
BA,2932002.0,Uauá,1.0
BA,2916500.0,Itapicuru,1.0
BA,2932101.0,Ubaíra,3.0
BA,2906857.0,Capela do Alto Alegre,1.0
BA,2901205.0,Anagé,4.0
BA,2932200.0,Ubaitaba,1.0
BA,2932309.0,Ubatã,3.0
BA,2901304.0,Andaraí,3.0
BA,2932408.0,Uibaí,3.0
BA,2906873.0,Capim Grosso,1.0
BA,2916609.0,Itapitanga,3.0
BA,2916708.0,Itaquara,1.0
BA,2932457.0,Umburanas,3.0
BA,2932507.0,Una,3.0
BA,2901353.0,Andorinha,3.0
BA,2901403.0,Angical,3.0
BA,2932606.0,Urandi,3.0
BA,2906899.0,Caraíbas,3.0
BA,2906907.0,Caravelas,4.0
BA,2916807.0,Itarantim,3.0
BA,2932705.0,Uruçuca,1.0
