Município,Estado,Ano de Referência,IN013 - Índice de perdas faturamento,IN016 - Índice de tratamento de esgoto,IN022 - Consumo médio percapita de água,IN049 - Índice de perdas na distribuição,IN052 - Índice de consumo de água,POP_TOT - População total do município do ano de referência (Fonte: IBGE):,PORC1 - Porcentagem da população total atendida com abastecimento de água,PORC2 - Porcentagem da população total atendida com esgotamento sanitário
Rio Branco,AC,2019,58.26,100.0,167.71,58.26,41.74,407319.0,54.26017445785736,21.65354427365284
Rio Branco,AC,2018,59.46,100.0,165.13,59.46,40.54,401155.0,52.66293577295559,20.48534855604442
Rio Branco,AC,2017,58.7,100.0,169.21,58.7,41.3,383443.0,54.92654710087288,21.64858922968994
Rio Branco,AC,2016,58.19,100.0,170.61,58.19,41.81,377057.0,54.629936587836845,22.003569752053405
Rio Branco,AC,2015,59.31,100.0,172.5,59.31,40.69,370550.0,54.59668060990419,22.54702469302389
Rio Branco,AC,2014,61.53,100.0,173.44,61.53,38.47,363928.0,50.21267943109626,21.232496537776704
Rio Branco,AC,2013,60.21,100.0,122.03,60.21,39.79,357194.0,48.96918761233391,20.16999165719469
Rio Branco,AC,2012,59.13,100.0,87.5,62.47,37.53,348354.0,88.5722569570035,23.794760502247712
Rio Branco,AC,2011,69.25,100.0,96.3,69.24,30.76,342299.0,89.9996786435251,19.86567299349399
Rio Branco,AC,2010,64.05,80.0,107.0,68.4,31.59,336038.0,75.26857081639577,20.235806664722443
Arapiraca,AL,2019,57.19,100.0,79.69,61.78,38.22,231747.0,95.2676841555662,1.846841598812498
Barra de São Miguel,AL,2019,56.29,100.0,191.3,64.06,35.94,8322.0,100.0,16.870944484498917
Barra de São Miguel,AL,2018,51.37,100.0,204.53,60.0,40.0,8264.0,99.83059051306871,16.940948693126813
Barra de São Miguel,AL,2017,53.85,100.0,235.28,60.7,39.3,8401.0,84.10903463873348,15.295798119271517
Barra de São Miguel,AL,2016,59.86,100.0,273.82,63.01,36.99,8336.0,85.10076775431862,7.089731285988483
Batalha,AL,2019,60.03,100.0,71.87,69.45,30.55,18232.0,58.40280824923212,40.3905221588416
Batalha,AL,2018,63.17,100.0,69.7,71.45,28.55,18455.0,57.84882145759956,34.52722839338932
Batalha,AL,2017,62.59,100.0,64.87,69.69,30.31,18757.0,66.91901690035719,19.720637628618647
Batalha,AL,2016,70.03,100.0,77.05,72.36,27.64,18631.0,73.84466748966776,26.611561376200957
Batalha,AL,2015,68.99,76.86,80.1,68.96,31.04,18496.0,74.37824394463668,26.73551038062284
Batalha,AL,2014,73.01,100.0,81.94,72.81,27.19,18353.0,77.87827603116656,19.99673077970904
Batalha,AL,2013,72.81,52.66,82.05,72.97,27.03,18201.0,75.13872864128345,7.741332893797044
Cajueiro,AL,2019,18.14,41.89,233.62,18.36,81.64,21264.0,89.03781038374717,10.341422121896162
Cajueiro,AL,2018,18.17,100.0,238.87,18.17,81.83,21194.0,86.18476927432293,10.375577993771824
Cajueiro,AL,2017,10.0,100.0,201.36,10.0,90.0,21526.0,84.08436309579113,9.871782960141225
Cajueiro,AL,2016,1.9,100.0,92.55,1.9,98.1,21443.0,80.67434594040013,9.536911812712772
Cajueiro,AL,2015,1.69,100.0,92.49,1.69,98.31,21355.0,80.6836806368532,9.515335986888315
Cajueiro,AL,2014,3.36,100.0,93.19,3.36,96.64,21261.0,80.76760265274446,8.823667748459622
Cajueiro,AL,2013,33.99,0.0,119.39,41.97,58.03,21480.0,77.54189944134077,5.633147113594041
Cajueiro,AL,2012,27.21,0.0,119.4,28.41,71.59,20626.0,80.75244836613983,5.478522253466498
Cajueiro,AL,2011,15.12,0.0,139.6,15.12,84.88,20520.0,81.16959064327486,5.43859649122807
Cajueiro,AL,2010,34.67,,107.6,34.67,65.32,20409.0,80.7682885001715,5.468175804792003
Campestre,AL,2018,100.0,0.0,166.24,7.73,92.27,6918.0,85.28476438276958,76.61173749638624
Campestre,AL,2017,100.0,0.0,152.26,3.05,96.95,7024.0,83.99772209567197,75.45558086560365
Campestre,AL,2016,100.0,0.0,163.11,,101.16,7002.0,83.96172522136533,71.40816909454442
Campo Alegre,AL,2019,67.0,7.69,56.03,70.0,30.0,57063.0,80.08692147275818,24.271419308483605
Campo Alegre,AL,2018,67.0,7.69,53.03,70.0,30.0,56579.0,92.0606585482246,24.47904699623535
Campo Alegre,AL,2017,67.0,16.92,56.62,70.0,30.0,57548.0,89.05261694585388,24.066865920622785
Campo Alegre,AL,2016,81.82,15.62,30.09,84.85,15.15,57008.0,79.86598372158294,24.242211619421838
Campo Alegre,AL,2014,100.0,0.0,130.89,30.03,69.97,55814.0,79.75418353818038,20.740316049736627
Campo Alegre,AL,2013,100.0,0.0,130.94,30.01,69.99,55161.0,76.85683725820779,19.98694729972263
Campo Alegre,AL,2012,100.0,0.0,129.8,29.98,70.02,52327.0,77.16093030366731,20.06612265178588
Campo Alegre,AL,2011,100.0,0.0,134.9,30.0,70.0,51584.0,75.9925558312655,20.35514888337469
Campo Alegre,AL,2010,100.0,0.0,122.1,30.0,70.0,50816.0,73.52802267002518,39.75716309823677
Capela,AL,2019,53.57,100.0,95.69,55.68,44.32,17053.0,52.049492757872514,0.2345628335190289
Capela,AL,2018,52.4,100.0,84.03,60.06,39.94,17124.0,52.20742817098809,6.236860546601261
Capela,AL,2017,43.25,100.0,66.89,48.87,51.13,17354.0,50.78368099573586,6.229111444047482
Capela,AL,2016,58.54,100.0,89.63,60.67,39.33,17428.0,56.36332338765205,3.477163185678219
Capela,AL,2015,45.72,100.0,99.95,47.84,52.16,17507.0,57.25138516022162,3.352944536471126
Capela,AL,2014,51.06,100.0,101.02,52.24,47.76,17591.0,57.37024614859871,3.649593542152237
Capela,AL,2013,60.81,56.66,94.93,61.77,38.23,17266.0,59.39997683308236,5.867021892737171
Coruripe,AL,2019,0.0,100.0,342.92,0.0,100.0,56933.0,99.36240844501432,24.12660495670349
Coruripe,AL,2018,0.0,100.0,292.66,0.0,100.0,56562.0,100.0,19.05519606803154
Coruripe,AL,2017,0.0,100.0,243.79,0.0,100.0,57498.0,100.0,16.365786636056907
Coruripe,AL,2016,0.0,100.0,242.23,1.2,98.8,57079.0,99.33775994674048,14.564025298270815
Coruripe,AL,2015,42.66,100.0,140.84,42.66,57.34,56631.0,100.0,14.534442266603095
Coruripe,AL,2014,42.67,100.0,148.58,42.67,57.33,56153.0,100.0,14.063362598614498
Coruripe,AL,2013,38.3,100.0,153.08,38.3,61.7,55648.0,90.9448677400805,12.53414318573893
Coruripe,AL,2012,36.87,100.0,152.4,36.87,63.13,53224.0,94.9703141439952,12.830677889673831
Coruripe,AL,2011,10.0,100.0,147.7,10.0,90.0,52716.0,94.99962060854388,12.576826769861144
Feliz Deserto,AL,2012,22.17,50.0,108.2,22.17,77.83,4482.0,89.2458723784025,55.77867023650156
Jacuípe,AL,2019,28.5,100.0,106.24,19.57,80.43,7021.0,52.86996154393962,14.926648625551916
Jacuípe,AL,2018,24.7,100.0,80.97,35.06,64.94,7036.0,48.72086412734508,14.837976122797045
Jacuípe,AL,2017,67.17,100.0,33.41,74.66,25.34,7135.0,56.83251576734408,17.77154870357393
Jacuípe,AL,2016,36.8,100.0,85.12,40.16,59.84,7148.0,61.33184107442641,10.660324566312257
Jacuípe,AL,2015,53.43,100.0,92.12,54.53,45.47,7162.0,61.211951968723824,12.929349343758725
Jacuípe,AL,2014,41.05,100.0,96.48,40.64,59.36,7177.0,61.39055315591473,15.020203427615996
Limoeiro de Anadia,AL,2010,0.0,,228.8,0.0,100.0,26992.0,34.25459395376408,0.3890041493775933
Maceió,AL,2019,52.84,100.0,101.35,51.19,48.81,1018948.0,89.61468102395804,43.03575844891005
Maceió,AL,2018,53.47,100.0,79.85,61.18,38.82,1012382.0,87.08392681813781,42.19296668648791
Maceió,AL,2017,58.13,100.0,86.24,57.17,42.83,1029129.0,91.6216528734493,30.90934178319725
Maceió,AL,2016,59.65,100.0,80.35,59.93,40.07,1021709.0,96.16710824706448,40.321852895491766
Maceió,AL,2015,58.45,100.0,83.3,58.64,41.36,1013773.0,96.6171914225374,34.97025468226121
Maceió,AL,2014,57.98,95.64,86.15,57.74,42.26,1005319.0,96.48211164814352,37.17596106310535
Maceió,AL,2013,59.47,100.0,83.24,61.28,38.72,996733.0,94.65022227617628,37.29855437715016
Maceió,AL,2012,61.21,100.0,80.1,64.29,35.71,953393.0,96.14629014477764,38.7455120815865
Maceió,AL,2011,60.48,99.15,81.5,64.65,35.35,943110.0,90.52655575701668,35.355260786122514
Maceió,AL,2010,61.73,100.0,78.7,66.06,33.93,932748.0,87.0797900397535,34.37101982529043
Maragogi,AL,2019,10.98,100.0,89.26,22.38,77.62,32704.0,48.26320939334638,31.76369863013699
Maragogi,AL,2018,15.53,100.0,80.95,34.4,65.6,32369.0,48.24368995026106,32.35194167258797
Maragogi,AL,2017,57.5,100.0,87.02,65.19,34.81,32940.0,45.24286581663631,23.59744990892532
Maragogi,AL,2016,67.36,100.0,100.64,70.7,29.3,32568.0,48.54151314173421,23.037951363301403
Maragogi,AL,2015,61.04,100.0,106.88,64.1,35.9,32171.0,49.087687669018685,23.511858506107984
Maragogi,AL,2014,61.21,100.0,108.17,64.03,35.97,31748.0,49.34169081516946,23.692831044475245
Maragogi,AL,2013,62.84,37.25,100.94,66.82,33.18,31299.0,48.11974823476788,24.026326719703505
Maragogi,AL,2012,55.03,100.0,95.6,62.51,37.49,29794.0,48.67422971068,29.64019601261999
Maragogi,AL,2011,48.14,100.0,95.4,56.16,43.84,29280.0,46.47199453551912,29.94535519125683
Maragogi,AL,2010,62.52,100.0,90.2,68.43,31.56,28749.0,46.66249260843856,29.69842429301889
Marechal Deodoro,AL,2019,54.61,100.0,250.21,58.74,41.26,51901.0,100.0,51.34390474171981
Marechal Deodoro,AL,2018,66.28,100.0,178.96,67.15,32.85,51364.0,100.0,55.47075772914882
Marechal Deodoro,AL,2017,69.28,100.0,152.4,70.58,29.42,52260.0,98.99923459624952,43.52851128970532
Marechal Deodoro,AL,2015,69.39,100.0,130.96,70.69,29.31,51132.0,99.33505436908392,27.153250410701716
Marechal Deodoro,AL,2014,69.28,100.0,119.97,70.58,29.42,50512.0,98.10342096927462,27.486537852391518
Marechal Deodoro,AL,2013,69.14,100.0,111.37,70.58,29.42,49853.0,99.89368744107676,23.06781938900367
Marechal Deodoro,AL,2012,63.77,100.0,103.9,65.39,34.61,47504.0,99.99157965645,23.61906365779724
Marechal Deodoro,AL,2011,63.84,100.0,100.8,65.46,34.54,46754.0,98.33811010822603,23.99794669974761
Marechal Deodoro,AL,2010,62.87,100.0,94.1,62.9,37.09,45977.0,100.0,24.403506100876527
Palmeira dos Índios,AL,2019,57.53,100.0,88.66,65.6,34.4,73218.0,93.946843672321,4.572646070638368
Palmeira dos Índios,AL,2018,23.04,100.0,97.52,37.33,62.67,73096.0,90.3428368173361,4.640472802889351
Palmeira dos Índios,AL,2017,1.1,100.0,77.16,22.64,77.36,74208.0,81.91569642087106,3.76239758516602
Palmeira dos Índios,AL,2016,42.73,100.0,112.71,44.02,55.98,74049.0,88.4414374265689,3.469324366297992
Palmeira dos Índios,AL,2015,45.51,100.0,116.84,46.16,53.84,73878.0,86.90273153036087,3.2066379707084653
Palmeira dos Índios,AL,2014,54.04,100.0,121.07,55.47,44.53,73725.0,85.18006103763987,3.3624957612750084
Palmeira dos Índios,AL,2013,49.75,64.3,110.89,50.88,49.12,73532.0,80.76075722134581,1.8114562367404667
Palmeira dos Índios,AL,2012,46.58,100.0,101.2,54.05,45.95,70738.0,85.62017586021658,1.9551019254149116
Paulo Jacinto,AL,2019,49.44,100.0,114.24,56.5,43.5,7564.0,70.06874669487044,21.893178212585934
Paulo Jacinto,AL,2018,48.39,100.0,119.88,58.02,41.98,7568.0,71.4455602536998,22.30443974630021
Paulo Jacinto,AL,2017,51.53,100.0,129.96,59.36,40.64,7679.0,59.92967834353431,18.986847245735124
Paulo Jacinto,AL,2016,52.19,100.0,148.07,54.07,45.93,7680.0,63.515625,13.997395833333334
Paulo Jacinto,AL,2015,45.82,100.0,153.82,46.91,53.09,7682.0,65.98542046342098,14.37125748502994
Paulo Jacinto,AL,2014,27.48,100.0,157.53,28.69,71.31,7683.0,65.1958870232982,15.332552388389953
Paulo Jacinto,AL,2013,36.19,38.48,107.63,38.28,61.72,7685.0,63.44827586206897,14.703968770331816
Pilar,AL,2015,12.45,100.0,129.44,9.82,90.18,35295.0,59.48717948717949,11.333050007083155
Pilar,AL,2014,12.42,100.0,170.26,9.77,90.23,35153.0,59.727477028987565,11.378829687366654
Piranhas,AL,2019,75.69,100.0,88.55,79.9,20.1,25039.0,75.25460281960143,33.40388993170654
Piranhas,AL,2018,40.24,100.0,91.44,51.44,48.56,24891.0,74.3320879032582,33.31324575147644
Piranhas,AL,2017,51.66,100.0,72.31,60.44,39.56,25298.0,82.02229425251008,33.3781326587082
Piranhas,AL,2016,82.51,0.0,86.13,82.28,17.72,25130.0,88.52367688022285,29.4866693195384
Piranhas,AL,2015,82.5,0.0,86.55,82.11,17.89,24950.0,89.1503006012024,29.32264529058116
Piranhas,AL,2014,81.74,0.0,84.3,81.68,18.32,24759.0,89.42202835332607,29.34690415606446
Piranhas,AL,2013,82.08,48.76,82.42,83.39,16.61,24556.0,84.45186512461314,28.734321550741164
Piranhas,AL,2012,76.27,100.0,87.9,80.54,19.46,23504.0,72.67699115044249,31.63716814159292
Piranhas,AL,2011,79.32,99.16,91.9,82.9,17.1,23279.0,59.52575282443404,34.146655784183174
Piranhas,AL,2010,81.36,100.0,91.2,84.44,15.55,23045.0,59.27533087437622,34.12887828162291
Quebrangulo,AL,2019,94.92,100.0,120.46,2.81,97.19,11294.0,59.55374535151408,12.325128386754027
Quebrangulo,AL,2018,91.47,100.0,122.83,2.78,97.22,11342.0,58.217245635690354,12.41403632516311
Quebrangulo,AL,2017,86.99,100.0,122.15,3.44,96.56,11496.0,54.10577592205985,11.386569241475296
Quebrangulo,AL,2016,95.08,100.0,84.15,31.31,68.69,11542.0,57.208456073470806,8.031536995321435
Quebrangulo,AL,2015,95.4,100.0,78.02,31.32,68.68,11592.0,56.54761904761904,8.26432022084196
Rio Largo,AL,2019,49.83,100.0,72.24,59.69,40.31,75120.0,83.47177848775293,32.49733759318424
Rio Largo,AL,2018,47.82,100.0,71.45,60.26,39.74,74838.0,79.17902669766697,31.02701835965686
Rio Largo,AL,2017,60.25,100.0,79.22,68.8,31.2,76019.0,74.66028229784659,26.638077322774567
Rio Largo,AL,2016,56.99,100.0,100.05,59.44,40.56,75688.0,68.01210231476588,12.03361166895677
Roteiro,AL,2019,100.0,0.0,40.46,92.05,7.95,6664.0,87.80012004801921,87.80012004801921
Roteiro,AL,2018,100.0,0.0,40.46,92.05,7.95,6680.0,87.58982035928143,87.58982035928143
Roteiro,AL,2012,100.0,0.0,139.4,46.3,53.7,6607.0,86.27213561374299,2.118964734372635
Santana do Ipanema,AL,2019,53.68,100.0,88.17,65.07,34.93,47654.0,76.316783480925,18.94489444747555
Santana do Ipanema,AL,2018,57.05,100.0,92.79,67.12,32.88,47486.0,75.39485321989639,11.211725561218042
Santana do Ipanema,AL,2017,56.21,100.0,94.51,64.92,35.08,48232.0,70.21064853209488,3.7215956211643726
Santana do Ipanema,AL,2016,68.44,100.0,117.91,69.16,30.84,48033.0,72.51472945683176,8.997980555035081
Santana do Ipanema,AL,2015,64.77,87.0,122.3,64.96,35.04,47820.0,72.46340443329152,4.483479715600168
Santana do Ipanema,AL,2014,71.09,100.0,127.44,70.29,29.71,47593.0,70.1006450528439,0.6324459479335197
Santana do Ipanema,AL,2013,70.3,44.63,116.7,70.2,29.8,47352.0,68.31179253252239,0.1731711437742862
São José da Laje,AL,2013,11.56,0.0,172.48,11.56,88.44,23847.0,87.22271145217427,46.54673543841993
São José da Laje,AL,2012,21.05,0.0,90.2,21.05,78.95,22906.0,89.49620186850606,48.1096655898018
São Miguel dos Campos,AL,2019,43.39,19.09,104.21,43.39,56.61,61251.0,96.31516220143344,49.08164764656904
São Miguel dos Campos,AL,2018,43.39,36.8,111.2,43.39,56.61,60775.0,83.6593994241053,46.67708761826409
São Miguel dos Campos,AL,2017,43.38,36.8,110.46,43.38,56.62,61827.0,81.10695974250733,44.33661668850179
São Miguel dos Campos,AL,2016,43.38,36.8,100.04,43.38,56.62,61204.0,81.89334030455527,44.60819554277498
São Miguel dos Campos,AL,2015,43.37,36.82,91.52,43.37,56.63,60539.0,100.0,98.82885412709165
São Miguel dos Campos,AL,2014,41.46,26.03,94.54,41.46,58.54,59830.0,100.0,100.0
São Miguel dos Campos,AL,2013,41.29,26.03,98.56,41.29,58.71,59077.0,96.31497875653808,61.78377371904463
São Miguel dos Campos,AL,2012,42.27,20.67,99.5,42.27,57.73,56319.0,94.85076084447522,64.80938937126014
São Miguel dos Campos,AL,2011,71.94,20.67,97.7,71.94,28.06,55463.0,96.31466022393307,65.80963885833799
São Miguel dos Campos,AL,2010,24.72,,84.6,44.02,55.97,54577.0,96.31529765285744,66.55917327812082
Teotônio Vilela,AL,2019,59.09,100.0,135.21,13.64,86.36,44169.0,87.16520636645612,62.2608616903258
Teotônio Vilela,AL,2018,1.59,100.0,135.91,0.0,100.0,43960.0,87.57961783439491,62.55686988171064
Teotônio Vilela,AL,2017,50.0,100.0,134.71,50.0,50.0,44666.0,84.40424483947521,58.65759190435678
Teotônio Vilela,AL,2016,0.0,100.0,121.34,0.0,100.0,44426.0,84.52707873767613,57.08368973123847
Teotônio Vilela,AL,2015,34.97,100.0,122.0,0.0,100.0,44169.0,83.67859811179787,57.30263306844167
Teotônio Vilela,AL,2014,35.7,100.0,122.0,0.0,100.0,43895.0,82.58343774917417,57.181911379428186
União dos Palmares,AL,2019,57.2,83.37,104.45,57.2,42.8,65611.0,78.67278352715246,68.837542485254
União dos Palmares,AL,2018,56.32,83.33,106.59,56.32,43.68,65461.0,78.85305754571425,68.99527963214739
União dos Palmares,AL,2017,52.64,83.33,104.32,52.64,47.36,66477.0,77.60428418851633,68.62072596537149
União dos Palmares,AL,2016,45.02,83.33,123.75,45.02,54.98,66255.0,76.94513621613464,68.16994943777827
União dos Palmares,AL,2015,42.64,80.0,118.01,42.64,57.36,66017.0,77.98445854855568,58.31225290455488
União dos Palmares,AL,2014,42.72,63.31,107.6,42.72,57.28,65764.0,77.65494799586399,59.07791496867587
Anamã,AM,2012,30.9,0.0,135.0,30.85,69.15,10766.0,42.26267880364109,38.08285342745681
Anamã,AM,2011,30.9,0.0,135.7,30.85,69.15,10495.0,43.353978084802286,39.066222010481184
Anamã,AM,2010,33.33,,215.8,33.33,66.66,10214.0,44.05717642451537,39.16193459956922
Beruri,AM,2012,37.76,0.0,205.9,37.76,62.24,16158.0,50.22898873622973,0.1980443124149028
Guajará,AM,2019,75.25,0.0,323.74,6.25,93.75,16678.0,76.118239597074,6.103849382419954
Guajará,AM,2018,77.76,0.0,319.9,7.81,92.19,16416.0,77.32090643274854,6.182992202729045
Guajará,AM,2017,81.25,0.0,320.49,9.37,90.62,16339.0,77.04877899504254,6.05912234530877
Guajará,AM,2016,80.0,0.0,294.33,,104.0,16085.0,75.85949642524092,5.906123717749456
Guajará,AM,2015,84.62,0.0,246.58,,138.46,15826.0,75.82459244281561,4.107165423985846
Guajará,AM,2014,79.17,0.0,272.03,,145.83,15561.0,51.4105777263672,3.21316110789795
Guajará,AM,2013,100.0,0.0,280.26,12.68,87.32,15291.0,39.89274736773265,2.61591786017919
Guajará,AM,2012,100.0,0.0,218.4,21.05,78.95,14396.0,41.831064184495695,2.778549597110308
Lábrea,AM,2011,100.0,0.0,148.5,23.8,76.2,38373.0,64.20660360149063,26.05999009720376
Manaus,AM,2019,62.9,100.0,82.39,72.08,27.92,2182763.0,97.50330200759312,19.898633062774103
Manaus,AM,2018,66.64,100.0,78.72,74.95,25.05,2145444.0,91.42433920437914,12.432717889630306
Manaus,AM,2017,66.15,100.0,77.87,74.62,25.38,2130264.0,89.25536928756247,12.25491300608751
Manaus,AM,2016,65.76,100.0,171.46,44.15,55.85,2094391.0,87.79191660009998,10.1818619350446
Manaus,AM,2015,67.42,100.0,177.52,46.19,53.81,2057711.0,85.41972123393421,10.396746676282527
Manaus,AM,2014,69.85,100.0,179.99,49.28,50.72,2020301.0,83.91358515389538,9.896396626047308
Manaus,AM,2013,70.21,100.0,164.86,48.16,51.84,1982177.0,82.80819523180826,8.848200740902554
Manaus,AM,2012,48.49,100.0,157.1,48.49,51.51,1861838.0,97.5696596588962,27.492348958394874
Manaus,AM,2011,50.08,100.0,148.1,50.08,49.92,1832424.0,95.57558730948732,26.8414406272784
Manaus,AM,2010,59.49,100.0,132.0,59.49,40.5,1802014.0,96.02677892624584,21.28007884511441
Nova Olinda do Norte,AM,2018,-0.84,0.0,168.07,15.81,84.19,36721.0,44.3914926064105,14.435881375779529
Nova Olinda do Norte,AM,2016,25.0,0.0,162.74,5.0,95.0,35800.0,58.10055865921788,8.717877094972067
Nova Olinda do Norte,AM,2015,25.0,0.0,162.74,5.0,95.0,35156.0,59.16486517237456,8.877574240527933
Nova Olinda do Norte,AM,2012,17.07,0.0,212.9,17.07,82.93,31749.0,36.30665532772686,4.031623043245457
Nova Olinda do Norte,AM,2011,23.01,0.0,205.7,23.01,76.99,31232.0,36.90765881147541,4.098360655737705
Nova Olinda do Norte,AM,2010,20.01,,329.5,20.01,79.99,30696.0,37.552124055251504,4.1699244201198855
Presidente Figueiredo,AM,2017,-1.12,0.0,509.75,23.39,76.61,34574.0,46.63620061317753,46.63620061317753
Presidente Figueiredo,AM,2015,9.04,0.0,320.33,3.72,96.28,32812.0,47.8422528343289,15.238327441180054
Presidente Figueiredo,AM,2014,9.57,0.0,328.22,4.15,95.85,31903.0,47.84189574648152,14.349747672632668
Presidente Figueiredo,AM,2013,10.1,0.0,313.08,0.99,99.01,30978.0,47.840402866550455,14.352120859965137
Presidente Figueiredo,AM,2012,5.18,0.0,322.3,1.13,98.87,28652.0,47.843082507329335,47.843082507329335
Presidente Figueiredo,AM,2010,7.6,0.0,260.7,12.43,87.56,27175.0,77.27322907083717,28.702851885924563
Santo Antônio do Içá,AM,2016,46.81,0.0,56.07,46.81,53.19,23378.0,18.393361279835744,4.320301137821883
Tonantins,AM,2017,100.0,0.0,112.93,26.98,73.02,18782.0,52.44382919816846,41.79533595996167
Tonantins,AM,2016,100.0,0.0,112.93,26.98,73.02,18632.0,52.86603692571919,42.131816230141695
Tonantins,AM,2015,100.0,0.0,112.93,10.96,89.04,18478.0,53.30663491719884,42.48295270050871
Tonantins,AM,2012,28.09,0.0,145.6,28.09,71.91,17316.0,34.777084777084774,2.021252021252021
Amapá,AP,2019,76.98,0.0,238.18,76.98,23.02,9109.0,23.88846196069821,4.577889998902185
Amapá,AP,2018,82.89,0.0,237.86,82.89,17.11,9029.0,22.69354302802082,4.618451655775833
Amapá,AP,2017,77.76,0.0,239.11,77.76,22.24,8757.0,24.11784857828023,5.241521068859199
Amapá,AP,2016,84.59,0.0,256.42,84.59,15.41,8690.0,23.91254315304948,5.281933256616801
Amapá,AP,2015,91.31,0.0,162.71,91.31,8.69,8622.0,19.171885873347254,5.323590814196242
Amapá,AP,2014,90.08,0.0,199.93,90.08,9.92,8553.0,19.4317783233953,5.319770840640711
Amapá,AP,2013,94.61,0.0,174.94,94.61,5.39,8483.0,20.146174702345867,5.257573971472356
Amapá,AP,2012,53.71,0.0,297.0,53.71,46.29,8213.0,9.777182515524167,5.016437355412152
Amapá,AP,2011,62.48,0.0,293.8,52.96,47.04,8142.0,9.86244166052567,5.06018177352002
Amapá,AP,2010,60.65,,220.9,60.65,39.34,8069.0,10.273887718428554,5.167926632792168
Macapá,AP,2019,66.61,100.0,154.75,74.12,25.88,503327.0,38.356177991643605,10.980535516672065
Macapá,AP,2018,59.97,100.0,175.08,65.47,34.53,493634.0,38.996300903098245,11.130513700433925
Macapá,AP,2017,57.57,100.0,183.24,62.15,37.85,474706.0,41.49810619625621,10.165871086525131
Macapá,AP,2016,63.06,90.16,187.69,66.25,33.75,465495.0,39.112342774895545,8.91438146489221
Macapá,AP,2015,64.8,90.7,180.23,69.14,30.86,456171.0,36.39271238197957,5.435900133941001
